Identifiant d’acte,Type d’acte,Id Personne A,Id Personne B,Commune,Date,Num Vue
122,Mariage,108,7889,208,1788-07-29,n/a
123,Mariage,108,7888,129,1788-07-29,28/149
124,Mariage,109,4915,234,1787-02-06,142/204
125,Mariage,111,6371,347,1675-07-30,n/a
126,Mariage,113,7135,64,1815-10-18,n/a
127,Mariage,112,7136,64,1815-10-18,n/a
128,Mariage,114,5155,208,1780-08-29,n/a
129,Mariage,115,5361,64,1786-02-27,8/225
130,Mariage,117,3763,279,1680-05-15,n/a
131,Mariage,116,4985,279,1691-07-01,n/a
132,Mariage,119,5556,291,1782-10-15,120/229
133,Mariage,119,7093,291,,62/112
134,Mariage,120,5630,200,1814-04-26,97/554
135,Mariage,121,3989,200,1846-09-14,330/432
136,Mariage,122,4217,200,1879-10-20,52/147
137,Mariage,123,4092,279,1654-04-20,n/a
138,Mariage,124,5342,200,1790-09-28,241/380
139,Mariage,125,4034,347,1702-10-24,n/a
140,Mariage,126,5074,200,1740-09-13,26/308
141,Mariage,126,6690,335,1715-09-17,n/a
142,Mariage,126,8154,200,1742-10-09,81/308
143,Mariage,127,6531,238,1664-01-07,114/166
144,Mariage,128,8145,237,1625-05-20,8/022
145,Mariage,129,8159,200,1791-02-08,260/380
146,Mariage,132,3764,279,1689-01-10,n/a
147,Mariage,133,5598,86,1711-01-20,67/068
148,Mariage,130,5628,200,1882-07-17,128/147
149,Mariage,131,6691,200,1879-08-11,40/147
150,Mariage,134,4782,200,1881-09-12,98/147
151,Mariage,135,7112,222,1731-01-01,n/a
152,Mariage,136,5715,124,1772-10-20,3/010
153,Mariage,137,5093,123,1719-02-14,69/143
154,Mariage,138,6658,123,1736-11-27,170/267
155,Mariage,139,5358,200,,127/216
156,Contrat de mariage,140,7130,171,1806-09-15,n/a
157,Mariage,141,6557,238,1750-07-16,11/106
158,Mariage,142,6129,238,1751-01-12,28/106
159,Mariage,143,8107,24,1693-11-24,78/117
160,Mariage,143,8139,24,1697-10-07,98/117
161,Mariage,144,4775,45,1697-11-19,42/337
162,Mariage,144,7790,45,1839-06-18,345/543
163,Mariage,145,4630,6,1888-09-10,39/091
164,Mariage,146,3907,32,1709-07-12,73/082
165,Mariage,147,4777,285,1729-10-26,171/340
166,Mariage,147,7682,285,1742-10-24,126/180
167,Mariage,150,4442,102,1739-09-30,9/013
168,Mariage,149,4501,162,,52/109
169,Mariage,150,4778,120,1753-01-23,163/303
170,Mariage,150,5243,120,1791-03-07,188/198
171,Mariage,151,6654,332,1851-06-25,122/157
172,Mariage,148,7461,260,1746-07-05,13/099
173,Mariage,150,7932,350,1731-07-04,105/119
174,Mariage,152,4344,341,1786-01-31,64/120
175,Mariage,153,5144,81,1751-02-09,2/031
176,Mariage,154,6467,45,1768-01-20,79/304
177,Mariage,153,6656,332,1851-06-25,122/157
178,Mariage,152,6970,341,1790-01-19,105&106/120
179,Mariage,152,7160,285,1778-01-13,56/123
180,Mariage,152,7725,341,1763-11-15,21/162
181,Mariage,152,8260,350,1731-07-04,105/119
182,Mariage,155,4072,242,1782-02-05,8/058
183,Mariage,156,1974,160,1769-02-06,80/264
184,Mariage,156,4252,120,1751-05-25,154/303
185,Mariage,156,5087,120,1765-02-18,265/303
186,Mariage,156,5092,32,1719-02-07,32/167
187,Mariage,157,5429,45,1848-01-11,18/583
188,Mariage,156,6367,160,1752-06-27,14/106
189,Mariage,156,6603,160,1778-05-19,240/264
190,Mariage,159,5641,5,1903-04-22,4/059
191,Mariage,159,7207,5,1894-11-27,58/159
192,Mariage,158,4059,341,1842-04-12,81/316
193,Mariage,161,3693,62,1824-03-04,14/423
194,Mariage,160,4693,62,1863-10-21,94/111
195,Mariage,162,4550,162,1861-10-29,81/261
196,Mariage,163,4960,148,1853-04-06,346/403
197,Mariage,164,5631,315,1895-06-18,39/149
198,Mariage,165,4690,285,1766-08-12,10/216
199,Mariage,165,6420,350,1746-02-08,57/087
200,Mariage,166,5453,238,1788-01-08,2/079
201,Mariage,168,3863,219,1796-05-24,2/016
202,Mariage,167,6491,131,1758-01-31,7/019
203,Mariage,169,6614,193,1663-10-01,2/007
204,Mariage,170,5373,134,1855-10-17,6/224
205,Mariage,174,195,62,1794-11-06,19/080
206,Mariage,178,3899,290,1695-01-15,74/104
207,Mariage,177,4114,285,1768-06-14,46/216
208,Mariage,177,4536,237,1624-11-07,8/022
209,Mariage,178,4645,160,1829-06-25,154/475
210,Mariage,177,4685,285,1745-06-01,169/180
211,Mariage,177,4875,238,1659-02-24,85/166
212,Mariage,177,5251,120,1769-02-06,297/303
213,Mariage,177,5321,14,1853-01-11,200/282
214,Mariage,177,5384,16,1717-07-01,76/087
215,Mariage,175,5773,288,1711-11-25,114/131
216,Mariage,177,7375,16,1697-09-17,46/055
217,Mariage,177,7631,285,1718-01-18,62/079
218,Mariage,177,7744,285,1817-01-07,97/470
219,Mariage,177,7769,350,1789-02-17,85/127
220,Mariage,171,5964,341,1876-11-22,34/062
221,Mariage,172,4147,146,,89/120
222,Mariage,173,7757,62,1855-07-25,10/111
223,Mariage,176,7366,238,,78/095
224,Mariage,183,4016,164,1698-07-01,40/048
225,Mariage,184,4159,4,1768-01-19,65/189
226,Mariage,188,4653,109,1688-06-30,44/044
227,Mariage,182,4688,249,1709-08-28,55/071
228,Mariage,189,4902,248,1845-04-09,149/293
229,Mariage,188,5140,114,1813-11-24,384/388
230,Mariage,188,5363,350,1708-02-20,3/027
231,Mariage,188,5382,162,1820-02-09,13/491
232,Mariage,188,5926,37,1623-02-13,16/069
233,Mariage,188,6962,285,1757-11-08,44/230
234,Mariage,188,7068,205,1687-06-26,133/387
235,Mariage,188,7519,148,1825-11-21,374/381
236,Mariage,186,8023,63,1740-02-23,18/024
237,Mariage,188,8087,120,,19/058
238,Mariage,188,8302,253,1687-02-05,13/156
239,Mariage,188,8303,138,1693-07-07,3/006
240,Mariage,179,6821,238,1884-07-29,66/167
241,Mariage,180,5534,45,1806-11-05,226/460
242,Mariage,181,8093,366,1777-02-04,n/a
243,Mariage,187,3913,340,1837-06-14,254/349
244,Mariage,185,8290,70,1855-11-26,8/123
245,Mariage,190,4694,234,1773-02-10,n/a
246,Mariage,191,4448,350,,11/131
247,Mariage,197,3992,258,1771-01-15,102/189
248,Mariage,201,4304,272,1765-02-12,3/096
249,Mariage,201,4563,114,1745-09-04,n/a
250,Mariage,203,4619,32,1730-06-27,112/167
251,Mariage,201,4658,62,1744-01-28,40/215
252,Mariage,201,4686,285,1760-02-18,105/230
253,Mariage,201,4890,148,1780-10-17,160/184
254,Mariage,196,5081,63,1765-04-23,41/338
255,Mariage,201,5304,120,1825-11-08,178/353
256,Mariage,201,5536,285,1767-06-22,26/216
257,Mariage,201,5550,288,1778-11-24,137/178
258,Mariage,201,5698,120,1853-05-10,267/379
259,Mariage,199,6100,131,,n/a
260,Mariage,198,6324,234,1739-02-10,19
261,Mariage,201,6601,148,1790-09-06,125/151
262,Mariage,200,6998,97,1773-01-19,61/167
263,Mariage,202,7234,162,1787-02-19,23/054
264,Mariage,202,7349,45,1812-07-29,163/413
265,Mariage,202,7407,62,1843-02-21,263/420
266,Mariage,201,7675,151,,48/142
267,Mariage,202,8079,366,1748-11-06,101/319
268,Mariage,202,8089,366,1744-02-17,57/319
269,Mariage,192,8164,366,1764-02-08,n/a
270,Mariage,193,5020,45,1866-10-09,142/172
271,Mariage,194,6563,45,1847-05-05,59/090
272,Mariage,204,8102,237,1636-07-23,17/022
273,Mariage,205,3677,164,1755-07-08,50/068
274,Mariage,206,4943,102,1765-06-18,134/136
275,Mariage,206,5412,102,1806-01-21,96/135
276,Mariage,206,6781,237,1610-11-07,2/022
277,Mariage,206,7860,162,1833-07-10,226/303
278,Mariage,206,8243,102,,104/128
279,Mariage,207,6792,238,1815-11-06,499/535
280,Mariage,208,5869,196,1735-08-17,n/a
281,Mariage,209,5151,366,1753-11-13,162/319
282,Mariage,217,3673,4,1792-10-30,13/19
283,Mariage,218,3887,332,1828-07-07,180/253
284,Mariage,217,4202,131,,26/028
285,Mariage,218,4632,68,1857-11-03,26/148
286,Mariage,217,5324,253,1834-09-17,207/216
287,Mariage,215,5703,157,1739-02-09,206/226
288,Mariage,217,5816,237,1624-09-25,8/022
289,Mariage,217,5917,190,1782-06-09,283/334
290,Mariage,218,6191,45,1878-05-15,118/188
291,Mariage,218,6335,160,1813-11-03,41/174
292,Mariage,210,6449,5,1753-02-28,320/331
293,Mariage,217,6541,70,1857-02-16,17/123
294,Mariage,212,7037,240,1760-01-08,163/384
295,Mariage,217,7374,219,1797-09-26,12/042
296,Mariage,216,7373,240,,23/201
297,Mariage,219,7674,59,1782-06-18,126/210
298,Mariage,222,7785,240,1767-05-12,217/384
299,Mariage,220,7816,234,1773-02-17,n/a
300,Mariage,217,7869,253,1828-11-25,72/216
301,Mariage,221,8073,97,1750-06-02,201/364
302,Mariage,211,6295,45,1875-04-28,79/188
303,Mariage,213,5305,45,1813-03-01,215/413
304,Mariage,214,3683,162,1876-01-11,29/210
305,Mariage,214,5438,162,1854-06-21,179/259
306,Mariage,223,7741,162,1848-01-11,117/503
307,Mariage,225,7179,148,1882-11-21,93/095
308,Mariage,224,6049,360,1910-06-21,3/007
309,Mariage,226,8188,196,1692-11-01,66/306
310,Mariage,227,5733,64,1863-09-21,n/a
311,Mariage,230,6046,129,1739-08-04,51/339
312,Mariage,228,4094,129,1807-09-20,52/418
313,Mariage,229,5061,129,1837-07-03,492/526
314,Mariage,231,4338,129,1897-06-02,51/096
315,Mariage,233,5731,128,1873-11-25,21/079
316,Mariage,232,7929,129,1860-01-18,25/057
317,Mariage,234,4164,129,1889-02-20,22/101
318,Mariage,235,4840,209,1735-10-18,n/a
319,Mariage,236,5665,273,1850-07-15,121/504
320,Mariage,237,6257,297,1647-07-15,6/025
321,Mariage,238,5684,86,1662-01-16,16/035
322,Mariage,243,4174,35,1808-02-24,n/a
323,Mariage,240,7838,35,1826-09-26,n/a
324,Mariage,241,8167,129,1775-11-28,38/404
325,Mariage,239,5696,64,1859-05-25,n/a
326,Mariage,242,8058,64,1841-06-14,n/a
327,Mariage,244,5775,279,1659-10-19,n/a
328,Mariage,249,4618,297,1673-07-25,24/025
329,Mariage,251,4684,296,1727-06-10,52/090
330,Mariage,248,5145,279,1688-11-22,n/a
331,Mariage,249,5387,23,1765-06-25,265/311
332,Mariage,248,5489,279,1678-01-19,n/a
333,Mariage,249,5541,279,1706-06-27,n/a
334,Mariage,249,5772,32,1768-06-07,8/012
335,Mariage,247,6584,125,1719-06-21,15/019
336,Mariage,249,6611,276,1655-11-10,15/018
337,Mariage,250,6907,200,1649-06-23,14/050
338,Mariage,249,6907,283,1649-01-01,n/a
339,Mariage,249,7065,35,1767-06-02,n/a
340,Contrat de mariage,249,7066,129,1767-05-14,123 et 124/635
341,Mariage,246,5352,238,1748-01-30,2/090
342,Mariage,246,5676,238,1738-01-07,44/140
343,Mariage,245,7387,238,1779-07-06,85/128
344,Mariage,262,5431,209,1748-02-06,n/a
345,Mariage,262,7451,209,1736-07-03,n/a
346,Mariage,257,7683,205,1694-11-16,228/387
347,Mariage,263,7980,273,1819-07-06,19/388
348,Mariage,252,4267,129,1904-06-22,12/036
349,Mariage,253,7583,129,1909-11-22,14/016
350,Mariage,254,7585,129,1809-11-20,240/418
351,Mariage,255,6708,129,1864-04-25,5/041
352,Mariage,256,7289,129,1897-02-10,47/096
353,Mariage,259,4176,129,1872-04-23,33/204
354,Mariage,258,4215,129,1874-06-08,82/204
355,Mariage,258,5351,129,1868-11-09,246/327
356,Mariage,260,6952,129,1865-09-04,39/327
357,Mariage,261,4508,128,1908-08-10,9/012
358,Mariage,264,6854,55,1648-07-06,17/043
359,Mariage,266,3595,317,1743-02-19,98/128
360,Mariage,266,4266,209,1716-06-30,n/a
361,Mariage,266,6833,317,1754-09-17,2/002
362,Mariage,266,8147,317,1768-02-09,34/119
363,Mariage,265,5531,129,1904-01-13,2/036
364,Mariage,267,4986,279,1664-01-06,n/a
365,Mariage,269,6209,86,1787-05-01,27/116
366,Mariage,270,7892,297,1695-04-27,35/051
367,Mariage,268,4093,129,1890-11-04,47/101
368,Mariage,271,3916,58,1660-09-08,20/064
369,Mariage,272,4761,279,1672-03-21,n/a
370,Mariage,281,3823,273,1790-06-01,111/159
371,Mariage,273,4186,273,1762-08-24,96/150
372,Mariage,279,4559,278,1767-10-20,182/446
373,Mariage,274,4844,87,1783-08-26,60/146
374,Mariage,279,4866,98,1720-07-02,n/a
375,Mariage,275,5545,129,1835-02-24,315/526
376,Mariage,273,6549,273,1806-08-27,112/431
377,Mariage,279,6612,276,1655-11-10,15/018
378,Mariage,280,7141,273,1813-03-13,66/360
379,Mariage,282,7687,330,1787-07-03,n/a
380,Mariage,276,7915,317,1757-02-15,5/119
381,Mariage,279,8034,129,1749-02-05,224/339
382,Mariage,277,5802,129,1896-06-02,34/096
383,Mariage,278,8299,64,1862-05-13,n/a
384,Mariage,283,5419,238,1677-02-25,73/174
385,Mariage,283,7456,40,1678-01-30,2/040
386,Mariage,284,6641,238,1643-09-28,133/211
387,Mariage,286,5292,237,1882-05-08,149/152
388,Mariage,285,8095,139,1905-04-26,40/047
389,Mariage,287,7868,130,1794-08-26,2/030
390,Mariage,287,7923,130,1811-07-07,35/348
391,Mariage,288,6904,143,1857-05-13,32/155
392,Mariage,289,6809,194,1842-06-13,143/355
393,Contrat de mariage,290,7410,155,1813-02-04,25 et 26/731
394,Mariage,290,7411,194,1813-02-04,44/376
395,Publication de mariage,291,3760,144,1832-10-28,n/a
396,Mariage,292,5234,194,1756-02-10,4/017
397,Mariage,293,6386,194,1721-06-30,2/040
398,Mariage,294,8296,194,1789-06-30,164/201
399,Mariage,295,6959,194,1688-01-18,59/082
400,Mariage,295,7173,194,1693-02-02,1/200
401,Mariage,296,3955,195,,10/120
402,Mariage,297,4907,194,1656-02-01,6/042
403,Mariage,301,4476,194,1786-11-28,127/201
404,Mariage,298,7044,194,1843-09-11,187/355
405,Mariage,300,7385,194,1813-02-23,49/376
406,Mariage,299,4397,213,1880-10-06,n/a
407,Mariage,304,4689,194,1717-10-18,178/200
408,Mariage,303,6637,155,1877-10-16,n/a
409,Mariage,305,8067,194,1761-01-19,10/203
410,Contrat de mariage,306,8097,155,1759-01-19,n/a
411,Mariage,307,6909,194,1684-01-17,37/082
412,Mariage,308,302,195,1831-04-20,242/527
413,Mariage,309,5344,83,1698-01-01,n/a
414,Mariage,310,6525,166,1618-02-26,2/022
415,Mariage,311,312,230,1683-02-01,93/309
416,Mariage,313,5708,42,1858-11-23,51/245
417,Contrat de mariage,314,4128,123,1618-07-14,246 et 247/348
418,Contrat de mariage,315,4984,123,1686-02-25,68 à 70/542
419,Mariage,316,4276,166,1633-06-18,7/022
420,Mariage,316,7337,166,1631-01-22,7/022
421,Mariage,319,5425,42,1724-11-20,217/260
422,Mariage,318,3691,146,1827-06-12,329/402
423,Mariage,318,6592,146,1817-11-17,61/402
424,Mariage,320,5202,346,1712-02-03,8/131
425,Contrat de mariage,321,4436,123,1598-11-29,160 et 161/473
426,Mariage,317,7402,11,1680-11-27,56/188
427,Mariage,322,7840,340,1889-03-19,43/113
428,Mariage,323,5132,205,1808-02-17,237/400
429,Mariage,324,5777,162,1837-05-31,377/461
430,Mariage,326,7185,194,1865-01-24,n/a
431,Mariage,325,7742,162,1865-02-20,281/505
432,Mariage,327,5581,162,1807-07-07,46/388
433,Mariage,328,7112,222,1807-01-01,n/a
434,Mariage,329,5201,162,,195/238
435,Contrat de mariage,332,6518,256,,193 et 194/552
436,Mariage,330,6517,225,,36/045
437,Mariage,331,6517,225,,39/045
438,Mariage,333,8276,60,1823-11-05,n/a
439,Mariage,334,7796,123,,n/a
440,Mariage,335,4298,184,1839-05-21,n/a
441,Mariage,336,5995,47,1872-01-09,35/169
442,Mariage,337,5659,67,1762-01-11,113/179
443,Mariage,339,7788,192,1829-07-15,101/308
444,Mariage,338,4735,14,1879-07-02,79/101
445,Mariage,340,5580,200,1848-06-18,304/444
446,Mariage,341,5039,200,1850-04-08,333/465
447,Mariage,341,5112,200,1873-01-13,89/224
448,Mariage,342,5035,200,1878-10-21,23/147
449,Mariage,343,4295,200,1817-09-01,393/493
450,Mariage,343,7013,200,1783-05-08,114/138
451,Mariage,344,7444,200,1861-05-21,153/226
452,Mariage,346,5170,200,1850-04-21,338/465
453,Mariage,347,5702,200,1861-05-01,152/226
454,Mariage,347,7439,200,1858-05-30,144/366
455,Mariage,351,5036,200,1735-02-08,617/655
456,Mariage,351,5156,200,1730-07-11,505/655
457,Mariage,351,5629,200,1841-09-27,129/423
458,Mariage,351,6457,200,1814-05-02,106/554
459,Mariage,351,7442,200,1827-05-07,406/598
460,Mariage,350,8247,17,1753-07-09,106/122
461,Mariage,348,7522,200,1880-09-27,72/147
462,Mariage,349,6879,200,1878-09-23,11/147
463,Mariage,354,4235,17,1777-10-14,13/299
464,Mariage,352,5388,200,1695-02-09,4/324
465,Mariage,356,6299,200,1727-02-18,437/655
466,Mariage,353,6463,200,1725-02-12,391/655
467,Mariage,357,8291,17,1746-02-01,13/122
468,Mariage,355,5762,17,1834-01-31,202/463
469,Mariage,358,6057,200,1808-09-23,104/357
470,Mariage,360,4622,200,1828-09-22,188/531
471,Mariage,360,5387,200,1749-01-28,250/308
472,Mariage,360,5761,200,1824-01-12,10/503
473,Mariage,360,5933,200,1751-02-23,22/058
474,Mariage,360,7140,200,1813-12-23,585/609
475,Mariage,361,7577,200,1688-02-26,47/067
476,Mariage,359,7380,200,1860-09-25,213/366
477,Mariage,362,6301,200,1793-09-03,9/216
478,Mariage,364,118,200,1813-12-30,593/609
479,Mariage,364,4466,200,1701-08-16,120/324
480,Mariage,364,5027,200,1832-07-03,100/452
481,Mariage,364,5704,200,1842-09-05,327/423
482,Mariage,364,6996,200,1761-09-07,151/181
483,Mariage,364,7191,200,1689-09-28,51/067
484,Mariage,365,7286,200,1679-06-05,22/067
485,Mariage,363,4477,17,1834-09-30,241/281
486,Mariage,368,3742,87,1775-08-08,53/166
487,Mariage,372,3958,200,1715-07-15,176/655
488,Mariage,372,4803,200,1696-11-20,32/324
489,Mariage,372,7020,200,1853-10-02,132/412
490,Mariage,366,5711,200,1843-06-19,92/468
491,Mariage,367,8113,200,1864-09-04,155/370
492,Mariage,369,3835,200,1853-09-19,128/412
493,Mariage,370,5113,200,1869-10-10,206/337
494,Mariage,371,4589,200,1716-01-22,188/655
495,Mariage,373,5360,200,1867-09-09,146/337
496,Mariage,374,8155,200,1811-08-19,114/609
497,Mariage,375,6042,200,1694-08-08,66/067
498,Mariage,375,6201,200,1712-10-04,83/655
499,Mariage,376,6494,200,1688-10-11,49/067
500,Mariage,375,7466,200,1743-01-08,90/308
501,Mariage,377,4990,200,1856-10-06,195/356
502,Mariage,377,7157,200,1861-09-09,162/226
503,Mariage,378,4156,200,1737-08-06,10/064
504,Mariage,378,4354,200,,126/216
505,Mariage,378,5043,200,1734-05-04,606/655
506,Mariage,378,5347,200,1730-01-31,497/655
507,Mariage,378,6123,200,1763-08-08,24/494
508,Mariage,378,7443,200,1793-06-25,7/216
509,Mariage,383,3957,200,1779-09-20,478/494
510,Mariage,383,4184,200,1881-09-26,102/147
511,Mariage,383,5153,200,1855-09-10,160/356
512,Mariage,383,5697,200,1857-06-01,207/356
513,Mariage,379,5038,200,1807-10-09,485/529
514,Mariage,379,7367,200,1881-12-20,117/147
515,Mariage,381,7279,200,1873-09-09,106/224
516,Mariage,380,5579,200,1813-01-14,373/609
517,Mariage,380,7636,200,,85/391
518,Mariage,382,7214,200,1838-09-17,512/596
519,Mariage,384,6435,200,1875-04-04,152/224
520,Mariage,385,7026,147,1898-10-26,n/a
521,Mariage,345,6487,200,1671-05-13,81/138
522,Mariage,386,7363,88,1694-11-10,11/016
523,Mariage,387,5563,220,1682-01-21,n/a
524,Mariage,389,4057,283,1717-06-16,n/a
525,Mariage,388,4309,283,1679-02-08,n/a
526,Mariage,390,4306,283,1662-07-01,n/a
527,Mariage,390,5115,283,1703-10-04,n/a
528,Mariage,392,4008,205,1710-07-01,52/326
529,Mariage,391,4307,283,1666-03-09,n/a
530,Mariage,393,4088,283,1736-11-23,n/a
531,Mariage,395,5577,205,1711-05-19,65/326
532,Mariage,394,6795,283,1656-09-06,n/a
533,Mariage,396,4401,283,1671-07-02,n/a
534,Mariage,399,4103,205,1708-02-09,27/326
535,Mariage,398,4104,205,1683-07-13,77/387
536,Mariage,397,5542,283,1680-10-17,n/a
537,Mariage,400,8269,283,1663-10-09,n/a
538,Mariage,401,5123,72,,18/028
539,Mariage,402,7572,233,1828-06-28,243/267
540,Mariage,403,7533,64,1856-10-08,n/a
541,Mariage,404,4821,250,1828-11-18,47/526
542,Mariage,405,6754,72,1806-11-27,76/205
543,Mariage,406,7193,250,1882-06-20,141/147
544,Mariage,407,5230,64,1877-10-02,n/a
545,Mariage,408,8310,338,1741-11-13,14/157
546,Publication de mariage,409,5864,290,,52/065
547,Contrat de mariage,410,7978,171,,n/a
548,Mariage,412,5110,181,1912-11-19,47/048
549,Mariage,414,4227,314,1874-05-19,41/132
550,Mariage,415,4228,314,1874-05-19,60/140
551,Mariage,416,7421,121,1829-11-02,33/492
552,Mariage,413,4643,293,1894-12-09,152/165
553,Mariage,411,4781,239,1803-11-16,n/a
554,Mariage,417,5024,162,1885-08-18,31/090
555,Contrat de mariage,418,7039,123,1668-05-06,172 à 174/240
556,Mariage,419,6693,143,1850-07-01,363/435
557,Mariage,420,5895,25,1877-07-24,74/128
558,Mariage,421,6916,10,1722-06-30,n/a
559,Mariage,422,4766,25,1823-07-02,109/214
560,Mariage,423,8315,143,1913-07-08,n/a
